[1261, 8, 2] [13, 97]
[1273, 8, 3] [-19, -67]
[1285, 8, 2] [5, 257]
[1293, 8, 3] [-3, -431]
[1304, 8, 3] [-8, -163]
[1313, 4, 2] [13, 101]
[1317, 8, 3] [-3, -439]
[1324, 8, 3] [-4, -331]
[1329, 8, 3] [-3, -443]
[1333, 8, 3] [-31, -43]
[1336, 8, 3] [-8, -167]
[1337, 8, 3] [-7, -191]
[1345, 4, 2] [5, 269]
[1349, 8, 3] [-19, -71]
[1357, 8, 3] [-23, -59]
[1384, 8, 2] [8, 173]
[1385, 8, 2] [5, 277]
[1388, 8, 3] [-4, -347]
[1389, 8, 3] [-3, -463]
[1393, 8, 3] [-7, -199]
[1397, 8, 3] [-11, -127]
[1401, 8, 3] [-3, -467]
[1405, 4, 2] [5, 281]
[1417, 8, 2] [13, 109]
[1432, 8, 3] [-8, -179]
[1436, 8, 3] [-4, -359]
[1437, 8, 3] [-3, -479]
[1441, 8, 3] [-11, -131]
[1448, 8, 2] [8, 181]
[1457, 8, 3] [-31, -47]
[1461, 8, 3] [-3, -487]
[1465, 8, 2] [5, 293]
[1468, 8, 3] [-4, -367]
[1469, 4, 2] [13, 113]
[1473, 8, 3] [-3, -491]
[1477, 8, 3] [-7, -211]
[1497, 8, 3] [-3, -499]
[1501, 8, 3] [-19, -79]
[1509, 8, 3] [-3, -503]
[1513, 4, 2] [17, 89]
[1516, 8, 3] [-4, -379]
[1517, 4, 2] [37, 41]
[1528, 8, 3] [-8, -191]
[1529, 8, 3] [-11, -139]
[1532, 8, 3] [-4, -383]
[1537, 4, 2] [29, 53]
[1541, 8, 3] [-23, -67]
[1544, 4, 2] [8, 193]
[1561, 8, 3] [-7, -223]
[1565, 8, 2] [5, 313]
[1569, 8, 3] [-3, -523]
[1576, 8, 2] [8, 197]
[1577, 8, 3] [-19, -83]
[1585, 8, 2] [5, 317]
[1589, 8, 3] [-7, -227]
[1592, 8, 3] [-8, -199]
[1633, 8, 3] [-23, -71]
[1641, 8, 3] [-3, -547]
[1649, 8, 2] [17, 97]
[1661, 8, 3] [-11, -151]
[1673, 8, 3] [-7, -239]
[1676, 8, 3] [-4, -419]
[1685, 8, 2] [5, 337]
[1688, 8, 3] [-8, -211]
[1689, 8, 3] [-3, -563]
[1713, 8, 3] [-3, -571]
[1717, 4, 2] [17, 101]
[1724, 8, 3] [-4, -431]
[1745, 4, 2] [5, 349]
[1756, 8, 3] [-4, -439]
[1757, 8, 3] [-7, -251]
[1761, 8, 3] [-3, -587]
[1765, 8, 2] [5, 353]
[1769, 8, 2] [29, 61]
[1772, 8, 3] [-4, -443]
[1781, 8, 2] [13, 137]
[1784, 8, 3] [-8, -223]
[1793, 8, 3] [-11, -163]
[1797, 8, 3] [-3, -599]
[1816, 8, 3] [-8, -227]
[1817, 8, 3] [-23, -79]
[1821, 8, 3] [-3, -607]
[1829, 8, 3] [-31, -59]
[1832, 8, 2] [8, 229]
[1837, 8, 3] [-11, -167]
[1841, 8, 3] [-7, -263]
[1852, 8, 3] [-4, -463]
[1853, 8, 2] [17, 109]
[1857, 8, 3] [-3, -619]
[1864, 4, 2] [8, 233]
[1865, 8, 2] [5, 373]
[1868, 8, 3] [-4, -467]
[1893, 8, 3] [-3, -631]
[1897, 8, 3] [-7, -271]
[1909, 8, 3] [-23, -83]
[1912, 8, 3] [-8, -239]
[1916, 8, 3] [-4, -479]
[1921, 8, 2] [17, 113]
[1928, 4, 2] [8, 241]
[1929, 8, 3] [-3, -643]
[1937, 8, 2] [13, 149]
[1941, 8, 3] [-3, -647]
[1945, 4, 2] [5, 389]
[1948, 8, 3] [-4, -487]
[1957, 8, 3] [-19, -103]
[1961, 4, 2] [37, 53]
[1964, 8, 3] [-4, -491]
[1969, 8, 3] [-11, -179]
[1977, 8, 3] [-3, -659]
[1981, 8, 3] [-7, -283]
[1985, 8, 2] [5, 397]
[1996, 8, 3] [-4, -499]
[2005, 4, 2] [5, 401]
[2008, 8, 3] [-8, -251]
[2012, 8, 3] [-4, -503]
[2021, 8, 3] [-43, -47]
[2033, 8, 3] [-19, -107]
[2041, 4, 2] [13, 157]
[2045, 4, 2] [5, 409]
[2049, 8, 3] [-3, -683]
[2056, 4, 2] [8, 257]
[2073, 8, 3] [-3, -691]
[2077, 8, 3] [-31, -67]
[2092, 8, 3] [-4, -523]
[2101, 8, 3] [-11, -191]
[2104, 8, 3] [-8, -263]
[2105, 4, 2] [5, 421]
[2117, 8, 2] [29, 73]
[2149, 8, 3] [-7, -307]
[2152, 8, 2] [8, 269]
[2157, 8, 3] [-3, -719]
[2165, 8, 2] [5, 433]
[2168, 8, 3] [-8, -271]
[2173, 8, 2] [41, 53]
[2177, 8, 3] [-7, -311]
[2181, 8, 3] [-3, -727]
[2188, 8, 3] [-4, -547]
[2189, 8, 3] [-11, -199]
[2201, 8, 3] [-31, -71]
[2216, 8, 2] [8, 277]
[2217, 8, 3] [-3, -739]
[2229, 8, 3] [-3, -743]
[2245, 4, 2] [5, 449]
[2248, 4, 2] [8, 281]
[2249, 4, 2] [13, 173]
[2252, 8, 3] [-4, -563]
[2253, 8, 3] [-3, -751]
[2257, 8, 2] [37, 61]
[2264, 8, 3] [-8, -283]
[2284, 8, 3] [-4, -571]
[2285, 8, 2] [5, 457]
[2305, 4, 2] [5, 461]
[2317, 8, 3] [-7, -331]
[2321, 8, 3] [-11, -211]
[2329, 4, 2] [17, 137]
[2344, 8, 2] [8, 293]
[2348, 8, 3] [-4, -587]
[2353, 4, 2] [13, 181]
[2361, 8, 3] [-3, -787]
[2369, 8, 3] [-23, -103]
[2396, 8, 3] [-4, -599]
[2413, 8, 3] [-19, -127]
[2428, 8, 3] [-4, -607]
[2429, 8, 3] [-7, -347]
[2433, 8, 3] [-3, -811]
[2449, 8, 3] [-31, -79]
[2453, 8, 3] [-11, -223]
[2456, 8, 3] [-8, -307]
[2461, 8, 3] [-23, -107]
[2469, 8, 3] [-3, -823]
[2476, 8, 3] [-4, -619]
[2481, 8, 3] [-3, -827]
[2488, 8, 3] [-8, -311]
[2489, 8, 3] [-19, -131]
[2497, 8, 3] [-11, -227]
[2501, 4, 2] [41, 61]
[2504, 4, 2] [8, 313]
[2509, 8, 2] [13, 193]
[2513, 8, 3] [-7, -359]
[2517, 8, 3] [-3, -839]
[2524, 8, 3] [-4, -631]
[2533, 4, 2] [17, 149]
[2536, 8, 2] [8, 317]
[2537, 8, 3] [-43, -59]
[2545, 4, 2] [5, 509]
[2561, 8, 2] [13, 197]
[2569, 8, 3] [-7, -367]
[2572, 8, 3] [-4, -643]
[2573, 8, 3] [-31, -83]
[2577, 8, 3] [-3, -859]
