[2109, 16, 13] [-3, -19, 37]
[2120, 8, 5] [8, 5, 53]
[2121, 16, 11] [-3, -7, 101]
[2136, 16, 13] [-8, -3, 89]
[2140, 16, 13] [-4, 5, -107]
[2172, 16, 11] [-4, -3, 181]
[2185, 16, 13] [5, -19, -23]
[2193, 16, 13] [-3, 17, -43]
[2204, 16, 13] [-4, -19, 29]
[2233, 16, 13] [-7, -11, 29]
[2236, 16, 11] [-4, 13, -43]
[2261, 16, 13] [-7, 17, -19]
[2265, 16, 13] [-3, 5, -151]
[2289, 16, 11] [-3, -7, 109]
[2296, 16, 13] [-8, -7, 41]
[2301, 16, 13] [-3, 13, -59]
[2316, 16, 11] [-4, -3, 193]
[2328, 16, 11] [-8, -3, 97]
[2332, 16, 11] [-4, -11, 53]
[2337, 16, 11] [-3, -19, 41]
[2345, 16, 11] [5, -7, -67]
[2360, 16, 13] [-8, 5, -59]
[2364, 16, 13] [-4, -3, 197]
[2365, 16, 13] [5, -11, -43]
[2373, 16, 13] [-3, -7, 113]
[2392, 16, 13] [-8, 13, -23]
[2397, 16, 13] [-3, 17, -47]
[2405, 8, 5] [5, 13, 37]
[2408, 16, 13] [8, -7, -43]
[2409, 16, 13] [-3, -11, 73]
[2424, 16, 11] [-8, -3, 101]
[2440, 16, 10] [8, 5, 61]
[2444, 16, 13] [-4, 13, -47]
[2445, 16, 11] [-3, 5, -163]
[2465, 16, 10] [5, 17, 29]
[2472, 16, 13] [8, -3, -103]
[2485, 16, 13] [5, -7, -71]
[2492, 16, 13] [-4, -7, 89]
[2505, 16, 11] [-3, 5, -167]
[2540, 16, 13] [-4, 5, -127]
[2552, 16, 11] [-8, -11, 29]
[2553, 16, 13] [-3, -23, 37]
[2568, 16, 11] [8, -3, -107]
[2584, 16, 11] [-8, 17, -19]
[2585, 16, 13] [5, -11, -47]
[2613, 16, 13] [-3, 13, -67]
[2616, 16, 13] [-8, -3, 109]
[2620, 16, 11] [-4, 5, -131]
[2632, 16, 11] [8, -7, -47]
[2665, 16, 10] [5, 13, 41]
[2668, 16, 11] [-4, -23, 29]
[2680, 16, 11] [-8, 5, -67]
[2684, 16, 13] [-4, -11, 61]
[2685, 16, 13] [-3, 5, -179]
[2697, 16, 11] [-3, 29, -31]
[2712, 16, 13] [-8, -3, 113]
[2716, 16, 13] [-4, -7, 97]
[2717, 16, 11] [-11, 13, -19]
[2728, 16, 13] [8, -11, -31]
[2737, 16, 11] [-7, 17, -23]
[2748, 16, 11] [-4, -3, 229]
[2765, 16, 13] [5, -7, -79]
[2769, 16, 13] [-3, 13, -71]
[2780, 16, 11] [-4, 5, -139]
[2796, 16, 13] [-4, -3, 233]
[2812, 16, 13] [-4, -19, 37]
[2821, 16, 11] [-7, 13, -31]
[2828, 16, 13] [-4, -7, 101]
[2829, 16, 13] [-3, -23, 41]
[2840, 16, 13] [-8, 5, -71]
[2849, 16, 11] [-7, -11, 37]
[2865, 16, 13] [-3, 5, -191]
[2877, 16, 13] [-3, -7, 137]
[2892, 16, 11] [-4, -3, 241]
[2905, 16, 11] [5, -7, -83]
[2920, 16, 10] [8, 5, 73]
[2924, 16, 11] [-4, 17, -43]
[2937, 16, 13] [-3, -11, 89]
[2945, 16, 11] [5, -19, -31]
[2968, 16, 13] [-8, -7, 53]
[2985, 16, 13] [-3, 5, -199]
[3009, 16, 13] [-3, 17, -59]
[3016, 16, 10] [8, 13, 29]
[3020, 16, 11] [-4, 5, -151]
[3021, 16, 11] [-3, -19, 53]
[3048, 16, 13] [8, -3, -127]
[3052, 16, 11] [-4, -7, 109]
[3068, 16, 13] [-4, 13, -59]
[3081, 16, 11] [-3, 13, -79]
[3084, 16, 13] [-4, -3, 257]
[3116, 16, 13] [-4, -19, 41]
[3128, 16, 13] [-8, 17, -23]
[3129, 16, 13] [-3, -7, 149]
[3144, 16, 11] [8, -3, -131]
[3145, 8, 5] [5, 17, 37]
[3157, 16, 11] [-7, -11, 41]
[3160, 16, 13] [-8, 5, -79]
[3164, 16, 11] [-4, -7, 113]
[3165, 16, 13] [-3, 5, -211]
[3196, 16, 11] [-4, 17, -47]
[3201, 16, 11] [-3, -11, 97]
[3212, 16, 13] [-4, -11, 73]
[3224, 16, 11] [-8, 13, -31]
[3228, 16, 13] [-4, -3, 269]
[3237, 16, 13] [-3, 13, -83]
[3245, 16, 11] [5, -11, -59]
